date,total_cases,inc_cases
2022-05-20,1,1
2022-05-21,3,2
2022-05-23,4,1
2022-05-24,5,1
2022-05-26,12,7
2022-05-27,16,4
2022-05-30,21,5
2022-05-31,33,12
2022-06-01,44,11
2022-06-02,57,13
2022-06-03,65,8
2022-06-07,80,15
2022-06-08,113,33
2022-06-09,131,18
2022-06-10,165,34
2022-06-13,189,24
2022-06-14,229,40
2022-06-15,263,34
2022-06-16,305,42
2022-06-17,338,33
2022-06-20,412,74
2022-06-21,469,57
2022-06-22,521,52
2022-06-23,592,71
2022-06-24,676,84
2022-06-27,765,89
2022-06-28,838,73
2022-06-29,874,36
2022-06-30,956,82
2022-07-01,1054,98
2022-07-04,1141,87
2022-07-05,1242,101
2022-07-06,1304,62
2022-07-07,1385,81
2022-07-08,1490,105
2022-07-11,1556,66
2022-07-12,1636,146
