date,total_cases,total_cases_7d_mean,total_incidence_100k,inc_cases,inc_cases_7d_mean,7d_incidence_100k
2022-05-13,0,0.0000,0.0000,0,0.0000,0.0000
2022-05-14,0,0.0000,0.0000,0,0.0000,0.0000
2022-05-15,0,0.0000,0.0000,0,0.0000,0.0000
2022-05-16,0,0.0000,0.0000,0,0.0000,0.0000
2022-05-17,0,0.0000,0.0000,0,0.0000,0.0000
2022-05-18,0,0.0000,0.0000,0,0.0000,0.0000
2022-05-19,0,0.0000,0.0000,0,0.0000,0.0000
2022-05-20,1,0.1429,0.0012,1,0.1429,0.0012
2022-05-21,3,0.5714,0.0036,2,0.4286,0.0036
2022-05-22,3,1.0000,0.0036,0,0.4286,0.0036
2022-05-23,4,1.5714,0.0048,1,0.5714,0.0048
2022-05-24,5,2.2857,0.0060,1,0.7143,0.0060
2022-05-25,5,3.0000,0.0060,0,0.7143,0.0060
2022-05-26,12,4.7143,0.0144,7,1.7143,0.0144
2022-05-27,16,6.8571,0.0192,4,2.1429,0.0180
2022-05-28,16,8.7143,0.0192,0,1.8571,0.0156
2022-05-29,16,10.5714,0.0192,0,1.8571,0.0156
2022-05-30,21,13.0000,0.0252,5,2.4286,0.0204
2022-05-31,33,17.0000,0.0396,12,4.0000,0.0336
2022-06-01,44,22.5714,0.0529,11,5.5714,0.0469
2022-06-02,57,29.0000,0.0685,13,6.4286,0.0541
2022-06-03,65,36.0000,0.0781,8,7.0000,0.0589
2022-06-04,65,43.0000,0.0781,0,7.0000,0.0589
2022-06-05,65,50.0000,0.0781,0,7.0000,0.0589
2022-06-06,65,56.2857,0.0781,0,6.2857,0.0529
2022-06-07,80,63.0000,0.0961,15,6.7143,0.0565
2022-06-08,113,72.8571,0.1358,33,9.8571,0.0829
2022-06-09,131,83.4286,0.1574,18,10.5714,0.0889
2022-06-10,165,97.7143,0.1982,34,14.2857,0.1201
2022-06-11,165,112.0000,0.1982,0,14.2857,0.1201
2022-06-12,165,126.2857,0.1982,0,14.2857,0.1201
2022-06-13,189,144.0000,0.2271,24,17.7143,0.1490
2022-06-14,229,165.2857,0.2751,40,21.2857,0.1790
2022-06-15,263,186.7143,0.3160,34,21.4286,0.1802
2022-06-16,305,211.5714,0.3664,42,24.8571,0.2090
2022-06-17,338,236.2857,0.4061,33,24.7143,0.2078
2022-06-18,338,261.0000,0.4061,0,24.7143,0.2078
2022-06-19,338,285.7143,0.4061,0,24.7143,0.2078
2022-06-20,412,317.5714,0.4950,74,31.8571,0.2679
2022-06-21,469,351.8571,0.5635,57,34.2857,0.2883
2022-06-22,521,388.7143,0.6259,52,36.8571,0.3100
2022-06-23,592,429.7143,0.7112,71,41.0000,0.3448
2022-06-24,676,478.0000,0.8121,84,48.2857,0.4061
2022-06-25,676,526.2857,0.8121,0,48.2857,0.4061
2022-06-26,676,574.5714,0.8121,0,48.2857,0.4061
2022-06-27,765,625.0000,0.9191,89,50.4286,0.4241
2022-06-28,838,677.7143,1.0068,73,52.7143,0.4433
2022-06-29,874,728.1429,1.0500,36,50.4286,0.4241
2022-06-30,956,780.1429,1.1485,82,52.0000,0.4373
2022-07-01,1054,834.1429,1.2663,98,54.0000,0.4541
2022-07-02,1054,888.1429,1.2663,0,54.0000,0.4541
2022-07-03,1054,942.1429,1.2663,0,54.0000,0.4541
2022-07-04,1141,995.8571,1.3708,87,53.7143,0.4517
2022-07-05,1242,1053.5714,1.4921,101,57.7143,0.4854
2022-07-06,1304,1115.0000,1.5666,62,61.4286,0.5166
2022-07-07,1385,1176.2857,1.6639,81,61.2857,0.5154
2022-07-08,1490,1238.5714,1.7901,105,62.2857,0.5238
2022-07-09,1490,1300.8571,1.7901,0,62.2857,0.5238
2022-07-10,1490,1363.1429,1.7901,0,62.2857,0.5238
2022-07-11,1556,1422.4286,1.8694,66,59.2857,0.4986
2022-07-12,1636,1478.7143,1.9655,80,56.2857,0.4733
2022-07-13,1694,1534.4286,2.0351,58,55.7143,0.4685
2022-07-14,1790,1592.2857,2.1505,96,57.8571,0.4866
2022-07-15,1859,1645.0000,2.2334,69,52.7143,0.4433
2022-07-16,1859,1697.7143,2.2334,0,52.7143,0.4433
2022-07-17,1859,1750.4286,2.2334,0,52.7143,0.4433
2022-07-18,1924,1803.0000,2.3115,65,52.5714,0.4421
2022-07-19,2033,1859.7143,2.4424,109,56.7143,0.4770
2022-07-20,2110,1919.1429,2.5349,77,59.4286,0.4998
2022-07-21,2191,1976.4286,2.6322,81,57.2857,0.4818
2022-07-22,2268,2034.8571,2.7247,77,58.4286,0.4914
2022-07-23,2268,2093.2857,2.7247,0,58.4286,0.4914
2022-07-24,2268,2151.7143,2.7247,0,58.4286,0.4914
2022-07-25,2352,2212.8571,2.8257,84,61.1429,0.5142
2022-07-26,2410,2266.7143,2.8953,58,53.8571,0.4529
2022-07-27,2459,2316.5714,2.9542,49,49.8571,0.4193
2022-07-28,2540,2366.4286,3.0515,81,49.8571,0.4193
2022-07-29,2595,2413.1429,3.1176,55,46.7143,0.3929
2022-07-30,2595,2459.8571,3.1176,0,46.7143,0.3929
2022-07-31,2595,2506.5714,3.1176,0,46.7143,0.3929
2022-08-01,2677,2553.0000,3.2161,82,46.4286,0.3905
2022-08-02,2724,2597.8571,3.2726,47,44.8571,0.3772
2022-08-03,2781,2643.8571,3.3411,57,46.0000,0.3868
2022-08-04,2839,2686.5714,3.4107,58,42.7143,0.3592
2022-08-05,2887,2728.2857,3.4684,48,41.7143,0.3508
2022-08-06,2887,2770.0000,3.4684,0,41.7143,0.3508
2022-08-07,2887,2811.7143,3.4684,0,41.7143,0.3508
2022-08-08,2916,2845.8571,3.5032,29,34.1429,0.2871
2022-08-09,2982,2882.7143,3.5825,66,36.8571,0.3100
2022-08-10,3025,2917.5714,3.6342,43,34.8571,0.2931
2022-08-11,3063,2949.5714,3.6798,38,32.0000,0.2691
2022-08-12,3102,2980.2857,3.7267,39,30.7143,0.2583
2022-08-13,3102,3011.0000,3.7267,0,30.7143,0.2583
2022-08-14,3102,3041.7143,3.7267,0,30.7143,0.2583
2022-08-15,3142,3074.0000,3.7748,40,32.2857,0.2715
2022-08-16,3186,3103.1429,3.8276,44,29.1429,0.2451
2022-08-17,3213,3130.0000,3.8601,27,26.8571,0.2259
2022-08-18,3242,3155.5714,3.8949,29,25.5714,0.2150
2022-08-19,3266,3179.0000,3.9237,24,23.4286,0.1970
2022-08-20,3266,3202.4286,3.9237,0,23.4286,0.1970
2022-08-21,3266,3225.8571,3.9237,0,23.4286,0.1970
2022-08-22,3295,3247.7143,3.9586,29,21.8571,0.1838
2022-08-23,3329,3268.1429,3.9994,34,20.4286,0.1718
2022-08-24,3350,3287.7143,4.0246,21,19.5714,0.1646
2022-08-25,3387,3308.4286,4.0691,37,20.7143,0.1742
2022-08-26,3405,3328.2857,4.0907,18,19.8571,0.1670
2022-08-27,3405,3348.1429,4.0907,0,19.8571,0.1670
2022-08-28,3405,3368.0000,4.0907,0,19.8571,0.1670
2022-08-29,3422,3386.1429,4.1111,17,18.1429,0.1526
2022-08-30,3455,3404.1429,4.1508,33,18.0000,0.1514
2022-08-31,3467,3420.8571,4.1652,12,16.7143,0.1406
2022-09-01,3480,3434.1429,4.1808,13,13.2857,0.1117
2022-09-02,3493,3446.7143,4.1964,13,12.5714,0.1057
2022-09-03,3493,3459.2857,4.1964,0,12.5714,0.1057
2022-09-04,3493,3471.8571,4.1964,0,12.5714,0.1057
2022-09-05,3501,3483.1429,4.2061,8,11.2857,0.0949
2022-09-06,3505,3490.2857,4.2109,4,7.1429,0.0601
2022-09-07,3511,3496.5714,4.2181,6,6.2857,0.0529
2022-09-08,3518,3502.0000,4.2265,7,5.4286,0.0457
2022-09-09,3530,3507.2857,4.2409,12,5.2857,0.0445
2022-09-10,3530,3512.5714,4.2409,0,5.2857,0.0445
2022-09-11,3530,3517.8571,4.2409,0,5.2857,0.0445
2022-09-12,3533,3522.4286,4.2445,3,4.5714,0.0384
