district,population,total_cases,total_incidence_100k,inc_cases
LK Breisgau-Hochschwarzwald,263601,0,0.0000,0
LK Emmendingen,166408,1,0.6009,0
SK Freiburg i.Breisgau,231195,4,1.7301,1
LK Konstanz,286305,0,0.0000,0
LK Lörrach,228736,1,0.4372,0
LK Ortenaukreis,430953,4,0.9282,1
LK Rottweil,139878,0,0.0000,0
LK Schwarzwald-Baar-Kreis,212506,0,0.0000,0
LK Tuttlingen,140766,0,0.0000,0
LK Waldshut,171003,0,0.0000,0
SK Baden-Baden,55185,0,0.0000,0
LK Calw,159201,0,0.0000,0
LK Enzkreis,199556,0,0.0000,0
LK Freudenstadt,118243,0,0.0000,0
SK Heidelberg,161485,0,0.0000,0
SK Karlsruhe,312060,4,1.2818,0
LK Karlsruhe,445101,2,0.4493,1
SK Mannheim,310658,3,0.9657,1
LK Neckar-Odenwald-Kreis,143633,0,0.0000,0
SK Pforzheim,125957,1,0.7939,0
LK Rastatt,231420,0,0.0000,0
LK Rhein-Neckar-Kreis,548355,4,0.7295,2
LK Böblingen,392807,2,0.5092,0
LK Esslingen,535024,1,0.1869,0
LK Göppingen,258145,0,0.0000,0
LK Heidenheim,132777,0,0.0000,0
SK Heilbronn,126592,1,0.7899,0
LK Heilbronn,344456,0,0.0000,0
LK Hohenlohekreis,112655,0,0.0000,0
LK Ludwigsburg,545423,5,0.9167,0
LK Main-Tauber-Kreis,132399,0,0.0000,0
LK Ostalbkreis,314025,0,0.0000,0
LK Rems-Murr-Kreis,427248,4,0.9362,1
LK Schwäbisch Hall,196761,0,0.0000,0
SK Stuttgart,635911,23,3.6169,3
LK Alb-Donau-Kreis,197076,0,0.0000,0
LK Biberach,201282,0,0.0000,0
LK Bodenseekreis,217470,0,0.0000,0
LK Ravensburg,285424,0,0.0000,0
LK Reutlingen,287034,2,0.6968,0
LK Sigmaringen,130849,0,0.0000,0
LK Tübingen,228678,2,0.8746,1
SK Ulm,126790,3,2.3661,0
LK Zollernalbkreis,189363,0,0.0000,0
SK Ansbach,41798,0,0.0000,0
LK Ansbach,184591,1,0.5417,0
SK Erlangen,112528,0,0.0000,0
LK Erlangen-Höchstadt,137262,0,0.0000,0
SK Fürth,128497,1,0.7782,0
LK Fürth,117853,0,0.0000,0
LK Neustadt a.d.Aisch-Bad Windsheim,101014,0,0.0000,0
SK Nürnberg,518370,6,1.1575,1
LK Nürnberger Land,170792,0,0.0000,0
LK Roth,126749,0,0.0000,0
SK Schwabach,40981,0,0.0000,0
LK Weißenburg-Gunzenhausen,94734,0,0.0000,0
LK Deggendorf,119478,0,0.0000,0
LK Dingolfing-Landau,96683,0,0.0000,0
LK Freyung-Grafenau,78362,0,0.0000,0
LK Kelheim,123058,0,0.0000,0
SK Landshut,73411,0,0.0000,0
LK Landshut,159895,1,0.6254,1
