date,total,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Mecklenburg-Vorpommern,Lower Saxony,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia,Unknown
2022-07-08,1490,54,84,902,26,1,69,43,4,18,232,12,5,22,6,10,2,0
2022-07-09,1554,56,88,933,28,1,73,43,4,18,244,15,7,24,6,11,3,0
2022-07-10,1554,56,88,933,28,1,73,43,4,18,244,15,7,24,6,11,3,0
2022-07-11,1556,56,88,933,28,1,75,43,4,18,244,15,7,24,6,11,3,0
2022-07-12,1636,67,92,954,29,1,75,48,4,18,281,15,7,25,6,11,3,0
2022-07-13,1694,68,98,986,29,2,78,54,4,18,287,17,7,26,6,11,3,0
2022-07-14,1790,71,108,1029,30,3,83,58,4,22,309,19,7,27,6,11,3,0
2022-07-15,1861,72,109,1077,31,3,84,64,3,23,317,21,7,28,6,13,3,0
2022-07-16,1924,78,115,1099,31,4,92,72,3,23,324,22,7,29,8,13,4,0
2022-07-17,1924,78,115,1099,31,4,92,72,3,23,324,22,7,29,8,13,4,0
2022-07-18,1924,78,115,1099,31,4,92,72,3,23,324,22,7,29,8,13,4,0
2022-07-21,2191,88,136,1189,36,6,98,84,3,30,425,26,7,34,9,15,5,0
2022-07-22,2268,93,143,1216,37,6,101,91,3,32,447,27,7,36,9,15,5,0
2022-07-23,2352,94,150,1237,38,6,102,95,3,36,488,30,8,36,9,15,5,0
2022-07-24,2352,94,150,1237,38,6,102,95,3,36,488,30,8,36,9,15,5,0
