index,gesamt,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unbekannt
Gesamt,2879,0,0,0,10,100,338,602,589,537,276,202,136,59,19,3,5,2,1
Baden-Württemberg,120,0,0,0,3,2,19,28,16,28,12,8,3,1,0,0,0,0,0
Bayern,217,0,0,0,0,10,24,39,36,49,25,17,12,4,1,0,0,0,0
Berlin,1432,0,0,0,1,41,174,327,312,277,113,87,66,22,6,2,3,1,0
Brandenburg,45,0,0,0,0,7,2,8,7,9,3,4,3,1,1,0,0,0,0
Bremen,8,0,0,0,0,1,4,0,1,0,0,1,0,1,0,0,0,0,0
Hamburg,131,0,0,0,0,4,10,26,33,19,21,9,6,2,1,0,0,0,0
Hessen,135,0,0,0,1,4,15,17,34,24,18,14,4,3,0,0,0,0,1
Mecklenburg-Vorpommern,5,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Niedersachsen,40,0,0,0,1,2,6,7,7,9,3,2,1,1,1,0,0,0,0
Nordrhein-Westfalen,618,0,0,0,0,23,58,120,116,105,72,53,38,20,9,1,2,1,0
Rheinland-Pfalz,40,0,0,0,0,0,9,5,7,10,3,3,2,1,0,0,0,0,0
Saarland,10,0,0,0,0,1,1,3,1,2,2,0,0,0,0,0,0,0,0
Sachsen,47,0,0,0,2,2,12,11,11,3,2,2,0,2,0,0,0,0,0
Sachsen-Anhalt,9,0,0,0,0,0,1,5,1,1,0,0,1,0,0,0,0,0,0
Schleswig-Holstein,17,0,0,0,1,2,0,4,5,0,2,2,0,1,0,0,0,0,0
Thüringen,5,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0
Unbekannt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
