index,gesamt,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unbekannt
Gesamt,18,1,0,0,2,3,2,3,2,3,1,0,0,0,0,1,0,0,0
LK Breisgau-Hochschwarzwald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Emmendingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Freiburg i.Breisgau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Konstanz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Lörrach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Ortenaukreis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Rottweil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Schwarzwald-Baar-Kreis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Tuttlingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Waldshut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Baden-Baden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Calw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Enzkreis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Freudenstadt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Heidelberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Karlsruhe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Karlsruhe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Mannheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Neckar-Odenwald-Kreis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Pforzheim,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
